Description,Incident#,Location,Agency,Date
VEHICLE BREAK-IN/THEFT,PD190830311119,2900 BLOCK NW 30TH ST,Miami-Dade Police,8-30-2019 10:18 AM
OVERDUE RENTAL,1908300065525,200 BLOCK SE 2ND ST,Miami Police,8-30-2019 9:57 AM
THEFT/LARCENY,PD190830311076,7200 BLOCK NW 29TH AVE,Miami-Dade Police,8-30-2019 9:52 AM
THEFT - OF MOTOR VEHICLE PARTS,1908300065521,1800 BLOCK NW 55TH TER,Miami Police,8-30-2019 9:38 AM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908300065515,7000 BLOCK NW 15TH AV,Miami Police,8-30-2019 9:23 AM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908300065515,7000 BLOCK NW 15TH AV,Miami Police,8-30-2019 9:23 AM
BURGLARY,PD190830311028,1700 BLOCK N CRUISE BLVD,Miami-Dade Police,8-30-2019 9:04 AM
BURGLARY - OTHER STRUCTURE,1908300065505,3600 BLOCK NW 35TH AV,Miami Police,8-30-2019 8:53 AM
BURGLARY - OTHER STRUCTURE,1908300065512,6700 BLOCK N MIAMI AV,Miami Police,8-30-2019 8:30 AM
THEFT/LARCENY,PD190830311117,2000 BLOCK N CRUISE BLVD,Miami-Dade Police,8-30-2019 8:15 AM
THEFT - FROM BUILDING,1908300065491,1500 BLOCK N MIAMI AV,Miami Police,8-30-2019 7:52 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908300065492,0 BLOCK NW 16TH AV,Miami Police,8-30-2019 7:47 AM
THEFT - OF MOTOR VEHICLE PARTS,1908300065501,400 BLOCK SW 11TH ST,Miami Police,8-30-2019 7:31 AM
ASSAULT,PD190830310912,4700 BLOCK NW 27TH AVE,Miami-Dade Police,8-30-2019 7:29 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908300065488,300 BLOCK NE 26TH ST,Miami Police,8-30-2019 7:25 AM
BATTERY / DOMESTIC,1908300065485,700 BLOCK SW 9TH AV,Miami Police,8-30-2019 7:14 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908300065476,1000 BLOCK BISCAYNE BLVD,Miami Police,8-30-2019 7:06 AM
BURGLARY - OTHER STRUCTURE,1908300065479,3400 BLOCK NW 36TH ST,Miami Police,8-30-2019 6:47 AM
AUTO THEFT,1908300065475,6700 BLOCK SW 8TH ST,Miami Police,8-30-2019 6:27 AM
VANDALISM,PD190830310873,2900 BLOCK NW 43RD TER,Miami-Dade Police,8-30-2019 6:13 AM
DISCHARGE FIREARM IN PUBLIC,1908300065466,200 BLOCK NE 72ND ST,Miami Police,8-30-2019 4:44 AM
ASSAULT,PD190830310816,NW 14TH AVE & NW 79TH ST,Miami-Dade Police,8-30-2019 3:58 AM
CRIMINAL MISCHIEF / VANDALISM,1908300065462,0 BLOCK SE 7TH ST,Miami Police,8-30-2019 3:05 AM
AUTO THEFT,1908300065461,NW 7TH AV / NW 69TH ST,Miami Police,8-30-2019 2:14 AM
AUTO THEFT,1908300065461,NW 7TH AV / NW 69TH ST,Miami Police,8-30-2019 2:14 AM
AGGRAVATED BATTERY,1908300065455,NW 17TH AV / NW 24TH ST,Miami Police,8-30-2019 1:44 AM
VEHICLE BREAK-IN/THEFT,PD190830311050,3000 BLOCK NW 63RD ST,Miami-Dade Police,8-30-2019 12:00 AM
BATTERY / DOMESTIC,1908300065447,1800 BLOCK NW 47TH TER,Miami Police,8-29-2019 11:22 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065441,NE 1ST AV / NE 2ND ST,Miami Police,8-29-2019 10:48 PM
RETAIL THEFT,1908290065429,1500 BLOCK SW 8TH ST,Miami Police,8-29-2019 10:15 PM
AUTO THEFT,1908290065446,800 BLOCK NW 54TH ST,Miami Police,8-29-2019 10:00 PM
THEFT - ALL OTHER,1908290065437,4100 BLOCK NW 2ND AV,Miami Police,8-29-2019 9:46 PM
ASSAULT,PD190829310610,2100 BLOCK NW 81ST TER,Miami-Dade Police,8-29-2019 9:34 PM
ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,1908290065414,2300 BLOCK SW 15TH ST,Miami Police,8-29-2019 9:18 PM
VEHICLE BREAK-IN/THEFT,PD190830311214,8300 BLOCK NW 7TH AVE,Miami-Dade Police,8-29-2019 9:00 PM
THEFT - FROM MOTOR VEHICLE,1908290065404,800 BLOCK BRICKELL AV,Miami Police,8-29-2019 8:15 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065411,1500 BLOCK SW 8TH ST,Miami Police,8-29-2019 8:13 PM
GRAND THEFT - A FIREARM,1908290065393,100 BLOCK NW 18TH AVE,Miami Police,8-29-2019 7:39 PM
WEAPONS,PD190829310570,NW 27TH PL & NW 53RD ST,Miami-Dade Police,8-29-2019 7:37 PM
THEFT/LARCENY,PD190829310462,2100 BLOCK NW 64TH ST,Miami-Dade Police,8-29-2019 6:59 PM
ASSAULT,PD190830311139,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-29-2019 6:45 PM
VEHICLE BREAK-IN/THEFT,PD190829310444,2100 BLOCK NW 34TH AVE,Miami-Dade Police,8-29-2019 6:40 PM
POSSESS / PURCHASE CONTROLLED SUBSTANCE NAMED IN FS 893.03 (1A:1B:1D:2A:2B),1908290065380,1100 BLOCK NW 1ST CT,Miami Police,8-29-2019 6:40 PM
FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,1908290065387,4700 BLOCK NW 7TH ST,Miami Police,8-29-2019 6:27 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065381,5900 BLOCK NE 2ND AV,Miami Police,8-29-2019 6:23 PM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1908290065378,0 BLOCK SW 3RD ST,Miami Police,8-29-2019 6:19 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908290065383,1600 BLOCK SW 10TH ST,Miami Police,8-29-2019 6:17 PM
BATTERY / AGGRAVATED / PERSON 65 YEARS OF AGE OR OLDER,1908290065374,300 BLOCK BISCAYNE BLVD,Miami Police,8-29-2019 5:39 PM
WEAPONS,PD190829310346,1400 BLOCK NW 83RD ST,Miami-Dade Police,8-29-2019 5:25 PM
THEFT/LARCENY,PD190829310319,7900 BLOCK NW 27TH ST,Miami-Dade Police,8-29-2019 5:14 PM
THEFT/LARCENY,PD190909323888,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-29-2019 5:00 PM
BURGLARY - RESIDENCE,1908290065372,1000 BLOCK NW 65TH ST,Miami Police,8-29-2019 4:57 PM
VEHICLE BREAK-IN/THEFT,PD190829310326,3300 BLOCK NW 72ND AVE,Miami-Dade Police,8-29-2019 4:30 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1908290065337,200 BLOCK SE 2ND AVE,Miami Police,8-29-2019 4:11 PM
THEFT - ALL OTHER,1908290065335,1600 BLOCK NW 7TH AV,Miami Police,8-29-2019 4:04 PM
THEFT - OF MOTOR VEHICLE PARTS,1908290065346,100 BLOCK NE 55TH ST,Miami Police,8-29-2019 3:59 PM
BATTERY / SIMPLE,1908290065348,2100 BLOCK NW 27TH AV,Miami Police,8-29-2019 3:47 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908290065326,7100 BLOCK NE 2ND AV,Miami Police,8-29-2019 2:56 PM
THEFT - ALL OTHER,1908290065306,1300 BLOCK SW 21ST TER,Miami Police,8-29-2019 2:39 PM
THEFT/LARCENY,PD190830311411,7500 BLOCK NW 19TH AVE,Miami-Dade Police,8-29-2019 2:00 PM
THEFT/LARCENY,PD190904317060,4800 BLOCK NW 37TH AVE,Miami-Dade Police,8-29-2019 2:00 PM
THEFT/LARCENY,PD190830311366,2000 BLOCK NW 86TH ST,Miami-Dade Police,8-29-2019 2:00 PM
THEFT/LARCENY,PD190829310051,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-29-2019 1:52 PM
THEFT - OF MOTOR VEHICLE PARTS,1908290065300,100 BLOCK NE 2ND AV,Miami Police,8-29-2019 1:48 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065307,1900 BLOCK SW 8TH ST,Miami Police,8-29-2019 1:46 PM
FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,1908290065299,900 BLOCK SW 31ST CT,Miami Police,8-29-2019 1:43 PM
"LEWD/LASCIVIOUS CONDUCT - OFFENDER 18 OR OLDER, VICTIM LESS THAN 16",1908290065294,2300 BLOCK SW 21ST TER,Miami Police,8-29-2019 1:24 PM
"LEWD/LASCIVIOUS CONDUCT - OFFENDER 18 OR OLDER, VICTIM LESS THAN 16",1908290065294,2300 BLOCK SW 21ST TER,Miami Police,8-29-2019 1:24 PM
PETIT THEFT - RETAIL / $100 TO LESS THAN $300,1908290065293,3400 BLOCK N MIAMI AV,Miami Police,8-29-2019 1:14 PM
RETAIL THEFT,1908290065280,4100 BLOCK NW 2ND AV,Miami Police,8-29-2019 1:09 PM
THEFT - FROM COIN OPERATED DEVICE,1908290065313,3400 BLOCK SW 10TH ST,Miami Police,8-29-2019 12:59 PM
VANDALISM,PD190829310026,2200 BLOCK NW 50TH ST,Miami-Dade Police,8-29-2019 12:56 PM
THEFT/LARCENY,PD190829309987,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-29-2019 12:35 PM
THEFT/LARCENY,PD190829310681,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-29-2019 12:30 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065287,NE 54TH ST / NE 1ST CT,Miami Police,8-29-2019 12:30 PM
POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1908290065274,NW 1ST CT / NW 13TH ST,Miami Police,8-29-2019 12:21 PM
BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908290065275,6000 BLOCK NE MIAMI CT,Miami Police,8-29-2019 11:55 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065265,3600 BLOCK BISCAYNE BLVD,Miami Police,8-29-2019 11:44 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065265,3600 BLOCK BISCAYNE BLVD,Miami Police,8-29-2019 11:44 AM
PETIT THEFT - RETAIL / $100 TO LESS THAN $300,1908290065258,3100 BLOCK BISCAYNE BLVD,Miami Police,8-29-2019 11:42 AM
PETIT THEFT - RETAIL / LESS THAN $100,1908290065258,3100 BLOCK BISCAYNE BLVD,Miami Police,8-29-2019 11:42 AM
PETIT THEFT - RETAIL / $100 TO LESS THAN $300,1908290065267,1200 BLOCK NW 7TH ST,Miami Police,8-29-2019 11:36 AM
RETAIL THEFT,1908290065257,3500 BLOCK SW 22ND ST,Miami Police,8-29-2019 11:34 AM
BURGLARY,PD190830311138,3100 BLOCK NW 82ND ST,Miami-Dade Police,8-29-2019 11:00 AM
ASSAULT,PD190829309863,2600 BLOCK NW 54TH ST,Miami-Dade Police,8-29-2019 10:54 AM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908290065248,NW 17TH AV / NW 66TH ST,Miami Police,8-29-2019 10:52 AM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908290065248,NW 17TH AV / NW 66TH ST,Miami Police,8-29-2019 10:52 AM
BATTERY / SIMPLE,1908290065238,2100 BLOCK W FLAGLER ST,Miami Police,8-29-2019 10:45 AM
BATTERY / SIMPLE,1908290065238,2100 BLOCK W FLAGLER ST,Miami Police,8-29-2019 10:45 AM
THEFT - SHOPLIFTING,1908290065246,3800 BLOCK W FLAGLER ST,Miami Police,8-29-2019 10:30 AM
BURGLARY - OTHER STRUCTURE,1908290065242,2100 BLOCK NW 20TH ST,Miami Police,8-29-2019 10:12 AM
BURGLARY,PD190829309795,7900 BLOCK NW 12TH CT,Miami-Dade Police,8-29-2019 10:11 AM
RETAIL THEFT,1908290065232,900 BLOCK SW 8TH ST,Miami Police,8-29-2019 9:44 AM
THEFT/LARCENY,PD190831312637,LBRY MAIN,Miami-Dade Police,8-29-2019 9:30 AM
THEFT/LARCENY,PD190829309781,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-29-2019 9:29 AM
ASSAULT,PD190829309718,NW 13TH AVE & NW 79TH ST,Miami-Dade Police,8-29-2019 9:12 AM
CRIMINAL MISCHIEF / VANDALISM,1908290065221,W FLAGLER ST / NW 23RD AV,Miami Police,8-29-2019 8:48 AM
RETAIL THEFT,1908290065223,3500 BLOCK SW 22ND ST,Miami Police,8-29-2019 8:30 AM
BURGLARY - OTHER STRUCTURE,1908290065219,1300 BLOCK NW 14TH ST,Miami Police,8-29-2019 8:27 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065215,300 BLOCK NE 54TH ST,Miami Police,8-29-2019 8:12 AM
BURGLARY - OTHER STRUCTURE,1908290065217,2900 BLOCK NE 2ND AV,Miami Police,8-29-2019 8:04 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065218,3100 BLOCK BISCAYNE BLVD,Miami Police,8-29-2019 7:57 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908290065205,1900 BLOCK NW 28TH ST,Miami Police,8-29-2019 7:38 AM
BURGLARY - OTHER STRUCTURE,1908290065196,5200 BLOCK NW 7TH AV,Miami Police,8-29-2019 6:37 AM
MOTOR VEHICLE THEFT,PD190831312782,500 BLOCK NW 81ST ST,Miami-Dade Police,8-29-2019 6:30 AM
BURGLARY,PD190829309767,6100 BLOCK NW 22ND AVE,Miami-Dade Police,8-29-2019 5:20 AM
ASSAULT,PD190829309531,2200 BLOCK NW 50TH ST,Miami-Dade Police,8-29-2019 4:50 AM
RETAIL THEFT,1908290065194,600 BLOCK NW 27TH AVE,Miami Police,8-29-2019 4:47 AM
BATTERY / SIMPLE,1908290065190,200 BLOCK NE 1ST AV,Miami Police,8-29-2019 2:01 AM
CRIMINAL MISCHIEF / VANDALISM,1908290065174,200 BLOCK NW 36TH ST,Miami Police,8-28-2019 11:59 PM
ASSAULT,PD190829309441,1300 BLOCK NW 13TH ST,Miami-Dade Police,8-28-2019 11:16 PM
BATTERY / AGG / DOMESTIC,1908280065165,NW 2ND CT / NW 13TH ST,Miami Police,8-28-2019 11:01 PM
BATTERY / AGG: USES DEADLY WEAPON,1908280065165,NW 2ND CT / NW 13TH ST,Miami Police,8-28-2019 11:01 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908280065172,1700 BLOCK N BAYSHORE DR,Miami Police,8-28-2019 10:54 PM
PETIT THEFT,1908280065160,3400 BLOCK NW 18TH AV,Miami Police,8-28-2019 10:48 PM
BATTERY / SIMPLE,1908280065166,300 BLOCK S BISCAYNE BLVD,Miami Police,8-28-2019 10:45 PM
SIMPLE BATTERY,1908290065175,600 BLOCK NW 2ND ST,Miami Police,8-28-2019 10:39 PM
THEFT - FROM MOTOR VEHICLE,1908280065161,2000 BLOCK SW 22ND ST,Miami Police,8-28-2019 10:27 PM
SIMPLE BATTERY,1908280065163,400 BLOCK BRICKELL AVE,Miami Police,8-28-2019 10:17 PM
DISCHARGE FIREARM IN PUBLIC,1908280065156,0 BLOCK NE 59TH TER,Miami Police,8-28-2019 10:15 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065155,SW 22ND ST / SW 27TH AV,Miami Police,8-28-2019 10:04 PM
SEXUAL BATTERY ON PERSON UNDER 12 YOA BY PERSON 18 YOA OR OLDER,1908290065182,700 BLOCK SW 3RD ST,Miami Police,8-28-2019 9:51 PM
SEXUAL BATTERY - VIC12+ BUT 18 / ENG. (CUSTODIAL AUTH)MALE/FEM - GEN TO GEN PEN.,1908290065182,700 BLOCK SW 3RD ST,Miami Police,8-28-2019 9:51 PM
THEFT OF COPPER OR OTHER NONFERROUS METAL,1908280065159,4900 BLOCK SW 6TH ST,Miami Police,8-28-2019 9:35 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908280065153,200 BLOCK NW 12TH AV,Miami Police,8-28-2019 9:31 PM
SIMPLE BATTERY,1908280065146,1600 BLOCK W FLAGLER ST,Miami Police,8-28-2019 9:21 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065154,NW MIAMI CT / NW 19TH ST,Miami Police,8-28-2019 9:14 PM
THEFT/LARCENY,PD190829309743,4000 BLOCK SW 9TH ST,Miami-Dade Police,8-28-2019 9:00 PM
THEFT/LARCENY,PD190829310261,6500 BLOCK NW 30TH AVE,Miami-Dade Police,8-28-2019 9:00 PM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908280065136,1200 BLOCK W FLAGLER ST,Miami Police,8-28-2019 7:54 PM
DRUGS/ALCOHOL VIOLATIONS,PD190828309193,800 BLOCK NW 79TH ST,Miami-Dade Police,8-28-2019 7:45 PM
POSSESSION OF NEW LEGEND DRUGS W/O PRESCRIPTION,1908280065130,4800 BLOCK BISCAYNE BLVD,Miami Police,8-28-2019 7:28 PM
POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1908280065116,NW 7TH AV / NW 47TH TER,Miami Police,8-28-2019 7:23 PM
"FELONY BATTERY (CAUSES) GREAT BODILY HARM, PERM DISABILITY OR DISFIGUREMENT",1908280065135,1200 BLOCK NW 58TH ST,Miami Police,8-28-2019 7:15 PM
THEFT/LARCENY,PD190830311260,NW 32ND AVE & NW 47TH ST,Miami-Dade Police,8-28-2019 7:00 PM
THEFT/LARCENY,PD190829309733,2000 BLOCK SW 57TH AVE,Miami-Dade Police,8-28-2019 7:00 PM
THEFT - FROM MOTOR VEHICLE,1908280065120,700 BLOCK NW 1ST ST,Miami Police,8-28-2019 6:58 PM
SIMPLE ASSAULT,1908280065118,1700 BLOCK NW 42ND ST,Miami Police,8-28-2019 6:52 PM
"BATTERY / L.E.O. / FIREFIGHTER / EMT / NONSWORN OR LICENSED SECURITY OFC, ETC",1908280065101,N MIAMI AV / NW 78TH ST,Miami Police,8-28-2019 6:24 PM
LEWD/LASCIVIOUS MOLESTATION - OFFENDER 18 OR OLDER AGAINST VICTIM LESS THAN 12 YRS OLD,1908280065106,200 BLOCK NW 33RD ST,Miami Police,8-28-2019 6:02 PM
ROBBERY,PD190828309333,1700 BLOCK NW 76TH ST,Miami-Dade Police,8-28-2019 6:00 PM
PETIT THEFT - FROM BUILDING WITH PUBLIC ACCESS / LESS THAN $100,1908280065103,1400 BLOCK SW 7TH ST,Miami Police,8-28-2019 5:59 PM
THEFT/LARCENY,PD190828309029,8200 BLOCK NW 15TH AVE,Miami-Dade Police,8-28-2019 5:44 PM
THEFT - ALL OTHER,1908280065099,200 BLOCK NE 55TH TER,Miami Police,8-28-2019 5:40 PM
BATTERY / DOMESTIC,1908280065097,100 BLOCK NW 77TH ST,Miami Police,8-28-2019 5:16 PM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908280065089,4200 BLOCK NW 17TH AV,Miami Police,8-28-2019 5:15 PM
THEFT/LARCENY,PD190828308982,NW 27TH AVE & NW 79TH ST,Miami-Dade Police,8-28-2019 4:57 PM
AUTO THEFT,1908280065071,800 BLOCK NE 82ND ST,Miami Police,8-28-2019 4:33 PM
AUTO THEFT,1908280065071,800 BLOCK NE 82ND ST,Miami Police,8-28-2019 4:33 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065086,NE 15TH ST / N BAYSHORE DR,Miami Police,8-28-2019 4:19 PM
ASSAULT,PD190828308915,2200 BLOCK NW 75TH ST,Miami-Dade Police,8-28-2019 4:16 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065063,1700 BLOCK BISCAYNE BLVD,Miami Police,8-28-2019 3:50 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065063,1700 BLOCK BISCAYNE BLVD,Miami Police,8-28-2019 3:50 PM
THEFT - OF MOTOR VEHICLE PARTS,1908280065064,600 BLOCK SW 1ST ST,Miami Police,8-28-2019 3:36 PM
ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,1908280065044,100 BLOCK SW 25TH RD,Miami Police,8-28-2019 3:14 PM
ROBBERY BY SUDDEN SNATCH - WITH FORCE,1908280065060,3500 BLOCK NW 12TH AV,Miami Police,8-28-2019 3:00 PM
THEFT - SHOPLIFTING,1908280065047,600 BLOCK NW 27TH AV,Miami Police,8-28-2019 2:58 PM
RETAIL THEFT,1908280065045,200 BLOCK SE 3RD AV,Miami Police,8-28-2019 2:45 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065046,3800 BLOCK NW 7TH ST,Miami Police,8-28-2019 2:20 PM
AUTO THEFT,1908280065050,1600 BLOCK NW 27TH AV,Miami Police,8-28-2019 2:07 PM
CRIMINAL MISCHIEF / VANDALISM,1908280065039,600 BLOCK NE 68TH ST,Miami Police,8-28-2019 2:04 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065034,3200 BLOCK N MIAMI AV,Miami Police,8-28-2019 1:58 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065034,3200 BLOCK N MIAMI AV,Miami Police,8-28-2019 1:58 PM
BURGLARY,PD190828308720,2300 BLOCK NW 81ST TER,Miami-Dade Police,8-28-2019 1:52 PM
CRIMINAL MISCHIEF / VANDALISM,1908280065023,1600 BLOCK NW 14TH ST,Miami Police,8-28-2019 1:46 PM
PETIT THEFT - FROM MOTOR VEHICLE / $100 TO LESS THAN $300,1908280065032,N MIAMI AV / NE 53RD ST,Miami Police,8-28-2019 1:29 PM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908280065028,NW 15TH AV / NW 69TH ST,Miami Police,8-28-2019 1:17 PM
"ORGANIZED FRAUD: ENGAGES IN SCHEME - OBTAINS PROPERTY / LESS THAN $20,000",1908280065026,500 BLOCK SW 27TH AV,Miami Police,8-28-2019 1:12 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280065020,700 BLOCK NW 24TH ST,Miami Police,8-28-2019 1:09 PM
THEFT/LARCENY,PD190828308640,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-28-2019 1:04 PM
VEHICLE BREAK-IN/THEFT,PD190828308665,800 BLOCK SW 71ST CT,Miami-Dade Police,8-28-2019 1:00 PM
THEFT - OF MOTOR VEHICLE PARTS,1908280065014,2100 BLOCK NW 22ND AV,Miami Police,8-28-2019 12:59 PM
BATTERY / DOMESTIC,1908280065018,1200 BLOCK SW 6TH ST,Miami Police,8-28-2019 12:22 PM
THEFT/LARCENY,PD190828308622,3500 BLOCK NW 67TH ST,Miami-Dade Police,8-28-2019 12:19 PM
THEFT - OF MOTOR VEHICLE PARTS,1908280065007,1900 BLOCK NW 15TH AVE,Miami Police,8-28-2019 12:02 PM
THEFT/LARCENY,PD190830311331,3200 BLOCK NW 67TH ST,Miami-Dade Police,8-28-2019 12:00 PM
THEFT/LARCENY,PD190904316897,3500 BLOCK NW 74TH ST,Miami-Dade Police,8-28-2019 12:00 PM
VANDALISM,PD190828308770,1800 BLOCK NW 75TH ST,Miami-Dade Police,8-28-2019 12:00 PM
BATTERY / DOMESTIC,1908280065015,800 BLOCK NW 45TH AV,Miami Police,8-28-2019 11:48 AM
VANDALISM,PD190828308539,2200 BLOCK NW 57TH ST,Miami-Dade Police,8-28-2019 11:00 AM
"EXPLOITATION OF A DISABLED ADULT, LESS THAN $20,000",1908280064989,2200 BLOCK SW 4TH ST,Miami Police,8-28-2019 10:55 AM
THEFT - ALL OTHER,1908280064987,200 BLOCK NW 35TH AVE,Miami Police,8-28-2019 10:49 AM
THEFT - ALL OTHER,1908280064985,NW 2ND AV / NW 2ND ST,Miami Police,8-28-2019 10:37 AM
BANK FRAUD- KNOWINGLY (OR ATT.) TO EXECUTE A SCHEME TO DEFRAUD FINANCIAL INST.,1908280064983,1400 BLOCK NW 20TH ST,Miami Police,8-28-2019 10:27 AM
CRIMINAL MISCHIEF / VANDALISM,1908280064988,3100 BLOCK NE 7TH AV,Miami Police,8-28-2019 10:19 AM
"LEWD/LASCIVIOUS MOLESTATION - OFFENDER LESS THAN 18, VICTIM LESS THAN 12 YEARS OLD",1908280064968,100 BLOCK NE 78TH ST,Miami Police,8-28-2019 9:48 AM
CRIMINAL MISCHIEF / VANDALISM,1908280064980,3000 BLOCK SW 5TH ST,Miami Police,8-28-2019 9:46 AM
BATTERY / AGG / DOMESTIC,1908280064982,6600 BLOCK NW 3RD AV,Miami Police,8-28-2019 9:42 AM
THEFT - FROM BUILDING,1908280064972,5200 BLOCK NW 17TH AV,Miami Police,8-28-2019 9:31 AM
BURGLARY - OTHER STRUCTURE,1908280064984,2100 BLOCK NW 5TH AV,Miami Police,8-28-2019 9:20 AM
ROBBERY - ARMED,1908280064999,1000 BLOCK NW 31ST ST,Miami Police,8-28-2019 9:20 AM
THEFT - ALL OTHER,1908280064971,NW 7TH AV / NW 63RD ST,Miami Police,8-28-2019 9:19 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280064975,2000 BLOCK NE 2ND AV,Miami Police,8-28-2019 9:19 AM
CRIMINAL MISCHIEF / VANDALISM,1908280064979,900 BLOCK BRICKELL AV,Miami Police,8-28-2019 8:54 AM
CRIMINAL MISCHIEF / VANDALISM,1908280064943,200 BLOCK SW 17TH AV,Miami Police,8-28-2019 8:33 AM
VEHICLE BREAK-IN/THEFT,PD190828308302,7200 BLOCK NW 36TH ST,Miami-Dade Police,8-28-2019 8:05 AM
RETAIL THEFT,1908280064938,0 BLOCK NE 79TH ST,Miami Police,8-28-2019 6:21 AM
THEFT/LARCENY,PD190828309237,6800 BLOCK SW 22ND ST,Miami-Dade Police,8-28-2019 5:45 AM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1908280064932,2800 BLOCK NW 7TH AV,Miami Police,8-28-2019 5:12 AM
THEFT/LARCENY,PD190828308553,2700 BLOCK NW 55TH ST,Miami-Dade Police,8-28-2019 5:00 AM
SIMPLE BATTERY,1908280064926,700 BLOCK NW 2ND ST,Miami Police,8-28-2019 4:04 AM
BATTERY / DOMESTIC,1908280064918,300 BLOCK SE 3RD ST,Miami Police,8-28-2019 3:21 AM
THEFT - OF MOTOR VEHICLE PARTS,1908280064909,3900 BLOCK W FLAGLER ST,Miami Police,8-28-2019 1:56 AM
DUI - UNDER INFLUENCE OF ALCOHOL OR CHEMICAL SUBSTANCE: FACULTIES IMPAIRED,1908280064913,NW 27TH AV / NW 11TH ST,Miami Police,8-28-2019 1:51 AM
RESISTING OFFICER W/ VIOLENCE TO HIS PERSON (SIMPLE ASSAULT),1908280064904,BISCAYNE BLVD / NE 79TH ST,Miami Police,8-28-2019 1:21 AM
ASSAULT,PD190828308116,2900 BLOCK NW 60TH ST,Miami-Dade Police,8-28-2019 12:51 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908280064898,1400 BLOCK SW 15TH ST,Miami Police,8-28-2019 12:39 AM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908280064893,NW 27TH AV / NW 7TH ST,Miami Police,8-28-2019 12:37 AM
BATTERY / DOMESTIC,1908280064892,3500 BLOCK NW 37TH AV,Miami Police,8-27-2019 11:58 PM
CRIMINAL MISCHIEF / VANDALISM,1908270064878,0 BLOCK W FLAGLER ST,Miami Police,8-27-2019 10:46 PM
THEFT - FROM MOTOR VEHICLE,1908270064881,7500 BLOCK NW 7TH AV,Miami Police,8-27-2019 10:35 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908270064862,4700 BLOCK NW 5TH ST,Miami Police,8-27-2019 10:23 PM
